EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
11,3.00,276.00,481673.00,2697305.00,3.00,0.00,4334969.00,1.53799E+07,7.71408E+07,3082620.00,3080130.00,2490.00,3.00,96333.00,30064.81481,0.00,0.00,0.00,0.00,0.99468,0.01521,0.00,0.00,0.99912
16,1710.00,30935.00,27018.00,494760.00,1710.00,8056.00,696916.00,820736.00,1.49939E+07,244008.00,185479.00,58529.00,5922.00,8246.00,10027.77778,0.86773,0.00,0.00,0.86773,0.90381,0.63286,0.39304,0.33843,0.90578
22,1029640.00,562156.00,1487805.00,1.50114E+07,1029640.00,83379.00,2.06335E+07,4.19811E+07,4.46510E+08,2248056.00,984403.00,1263653.00,2115172.00,150543.00,298861.11111,0.93861,0.00,0.00,0.93861,0.93689,0.45987,0.0251,0.02413,0.99614
31,42.00,2868.00,27.00,6892.00,42.00,685.00,15155.00,640.00,214016.00,21372.00,19891.00,1481.00,66.00,688.00,9740.74074,0.93584,0.00,0.00,0.93584,0.76915,0.4747,0.10506,0.02848,0.86951
33,140.00,1319.00,90.00,3420.00,140.00,318.00,7772.00,2752.00,96896.00,9276.00,6799.00,2477.00,306.00,326.00,16111.11111,0.55252,0.00,0.00,0.55252,0.79023,0.50215,0.27402,0.15751,0.84397
