EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
18,7.00,772070.00,386609.00,2899534.00,7.00,96650.00,5129980.00,1.23496E+07,9.26215E+07,3087360.00,3080130.00,7230.00,24.00,96651.00,48120.37037,0.86755,0.00,0.00,0.86755,0.61532,0.32977,0.69621,0.31272,0.61612
23,20328.00,1061866.00,664804.00,8967799.00,20328.00,208323.00,1.16308E+07,1.59197E+07,2.64482E+08,705136.00,537948.00,167188.00,57754.00,24994.00,112703.7037,0.79246,0.00,0.00,0.79246,0.72969,0.6664,0.85053,0.61372,0.72979
32,42.00,5474.00,27.00,13264.00,42.00,1324.00,27994.00,704.00,418752.00,41816.00,39263.00,2553.00,78.00,1327.00,10425.92593,0.96107,0.00,0.00,0.96107,0.65106,0.36472,0.0789,0.01631,0.71543
34,196.00,2680.00,126.00,6722.00,196.00,661.00,15130.00,3936.00,200672.00,19716.00,15501.00,4215.00,438.00,675.00,20703.7037,0.60671,0.00,0.00,0.60671,0.81589,0.50139,0.31114,0.1939,0.85071
