EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
1069,720.00,142.00,6840.00,45360.00,720.00,0.00,59268.00,208320.00,1382240.00,0.00,0.00,0.00,10968.00,360.00,4583.33333,0.00,0.00,0.00,0.00,0.51641,0.46575,0.00,0.00,0.54615
1073,80.00,142.00,760.00,5040.00,80.00,0.00,6880.00,24000.00,159424.00,0.00,0.00,0.00,1265.00,40.00,5277.77778,0.00,0.00,0.00,0.00,0.65731,0.55987,0.00,0.00,0.76961
1077,2636.00,142.00,25042.00,166068.00,2636.00,0.00,204061.00,785216.00,5203328.00,0.00,0.00,0.00,41323.00,1318.00,6203.7037,0.00,0.00,0.00,0.00,0.57169,0.51141,0.00,0.00,0.58038
1081,832.00,142.00,7904.00,52416.00,832.00,0.00,67893.00,249248.00,1653504.00,0.00,0.00,0.00,13120.00,416.00,4935.18519,0.00,0.00,0.00,0.00,0.30954,0.23147,0.00,0.00,0.33768
1085,1216.00,142.00,11552.00,76608.00,1216.00,0.00,96422.00,368288.00,2442432.00,0.00,0.00,0.00,19385.00,608.00,4768.51852,0.00,0.00,0.00,0.00,0.53707,0.50246,0.00,0.00,0.55508
1089,272.00,142.00,2584.00,17136.00,272.00,0.00,23261.00,81152.00,538656.00,0.00,0.00,0.00,4274.00,136.00,5148.14815,0.00,0.00,0.00,0.00,0.46085,0.39551,0.00,0.00,0.5274
1093,4.00,138.00,38.00,252.00,4.00,0.00,344.00,1216.00,8064.00,0.00,0.00,0.00,64.00,2.00,5453.7037,0.00,0.00,0.00,0.00,0.6348,0.63072,0.00,0.00,0.96405
1097,210.00,142.00,1995.00,13230.00,210.00,0.00,17969.00,62688.00,414656.00,0.00,0.00,0.00,3297.00,105.00,5222.22222,0.00,0.00,0.00,0.00,0.61479,0.53764,0.00,0.00,0.69064
1101,364.00,142.00,3458.00,22932.00,364.00,0.00,31129.00,107744.00,714656.00,0.00,0.00,0.00,5676.00,182.00,4777.77778,0.00,0.00,0.00,0.00,0.73802,0.58118,0.00,0.00,0.77726
1105,2.00,138.00,19.00,126.00,2.00,0.00,172.00,512.00,3392.00,0.00,0.00,0.00,27.00,1.00,5712.96296,0.00,0.00,0.00,0.00,0.5857,0.58374,0.00,0.00,0.98629
