EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
131,25935.00,16367.00,174856.00,514500.00,26250.00,3150.00,803255.00,4909504.00,1.48478E+07,3896.00,974.00,2922.00,66959.00,2302.00,13990.74074,0.75134,0.20102,0.20102,0.75134,0.91891,0.8063,0.08927,0.07421,0.98561
133,16890.00,1809.00,135324.00,402702.00,16890.00,574.00,622035.00,4019904.00,1.22107E+07,520.00,130.00,390.00,66959.00,2175.00,12416.66667,0.66981,0.2563,0.24,0.66981,0.91466,0.87655,0.01808,0.01544,0.99804
135,17997.00,3322.00,141128.00,418244.00,17997.00,900.00,611898.00,4119680.00,1.24926E+07,772.00,191.00,581.00,66959.00,2176.00,15324.07407,0.69957,0.24401,0.21229,0.69957,0.91703,0.86131,0.02718,0.02495,0.99736
137,30723.00,23869.00,196344.00,564884.00,30534.00,4500.00,867039.00,5370912.00,1.62712E+07,5720.00,1430.00,4290.00,66959.00,2378.00,14583.33333,0.7988,0.20784,0.20873,0.7988,0.9097,0.77279,0.09894,0.07308,0.97233
139,27890.00,21490.00,187398.00,551928.00,28418.00,4200.00,841990.00,5196672.00,1.57532E+07,6752.00,1698.00,5054.00,66959.00,2431.00,13657.40741,0.78044,0.1754,0.17603,0.78044,0.9314,0.75252,0.09416,0.08619,0.98999
141,17745.00,3115.00,140856.00,415236.00,17745.00,828.00,606614.00,4104288.00,1.24534E+07,712.00,178.00,534.00,66959.00,2175.00,13259.25926,0.6959,0.24076,0.25564,0.6959,0.91581,0.87067,0.02586,0.02329,0.99767
146,3458.00,1438.00,25084.00,75738.00,3395.00,306.00,114921.00,708096.00,2132896.00,312.00,78.00,234.00,10662.00,359.00,10731.48148,0.60635,0.20275,0.21809,0.60635,0.84556,0.75909,0.05627,0.05377,0.86142
148,4529.00,2722.00,29980.00,87018.00,4592.00,648.00,135862.00,785888.00,2361920.00,620.00,155.00,465.00,10662.00,376.00,10203.7037,0.63289,0.20118,0.22463,0.63289,0.94368,0.8365,0.09284,0.0861,0.98789
150,2891.00,706.00,22908.00,67466.00,2954.00,162.00,103068.00,663200.00,2000320.00,136.00,34.00,102.00,10662.00,350.00,10259.25926,0.5374,0.18671,0.22083,0.5374,0.94527,0.87586,0.02966,0.02918,1.00175
152,2639.00,229.00,21276.00,63706.00,2639.00,54.00,95309.00,634272.00,1911584.00,20.00,5.00,15.00,10662.00,344.00,10925.92593,0.55789,0.41053,0.30789,0.55789,0.94336,0.90181,0.0081,0.006,0.99905
