EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
7032,24.00,142.00,100.00,908.00,24.00,0.00,1160.00,2592.00,26784.00,0.00,0.00,0.00,118.00,4.00,6342.59259,0.40,0.40,0.40,0.40,0.7877,0.71149,0.0049,0.0049,1.00163
7035,12.00,138.00,50.00,454.00,12.00,0.00,580.00,1216.00,12704.00,0.00,0.00,0.00,56.00,2.00,6481.48148,0.33333,0.33333,0.33333,0.33333,0.70342,0.65839,0.00311,0.00311,1.00
7038,12.00,138.00,50.00,454.00,12.00,0.00,580.00,1248.00,12704.00,0.00,0.00,0.00,56.00,2.00,6842.59259,0.33333,0.33333,0.33333,0.33333,0.68296,0.61872,0.00279,0.00279,0.94972
7043,24.00,138.00,100.00,908.00,24.00,0.00,1160.00,2496.00,25920.00,0.00,0.00,0.00,114.00,4.00,6166.66667,0.4375,0.4375,0.4375,0.4375,0.78031,0.72747,0.01057,0.01057,1.00
7046,12.00,184.00,50.00,454.00,12.00,0.00,580.00,928.00,9504.00,0.00,0.00,0.00,42.00,2.00,6194.44444,0.45455,0.45455,0.45455,0.45455,0.71321,0.64604,0.00528,0.00528,1.00
7049,24.00,138.00,100.00,908.00,24.00,0.00,1160.00,2528.00,25920.00,0.00,0.00,0.00,114.00,4.00,6120.37037,0.45455,0.45455,0.45455,0.45455,0.78141,0.72441,0.00996,0.00996,1.00
7052,12.00,138.00,50.00,454.00,12.00,0.00,580.00,1184.00,12288.00,0.00,0.00,0.00,54.00,2.00,6537.03704,0.46667,0.46667,0.46667,0.46667,0.72029,0.65725,0.0058,0.0058,0.99783
7055,6.00,138.00,25.00,227.00,6.00,0.00,290.00,256.00,2752.00,0.00,0.00,0.00,12.00,1.00,6537.03704,0.33333,0.33333,0.33333,0.33333,0.64783,0.60923,0.00188,0.00188,1.00
7058,24.00,138.00,100.00,908.00,24.00,0.00,1160.00,2528.00,25920.00,0.00,0.00,0.00,114.00,4.00,6324.07407,0.42424,0.42424,0.42424,0.42424,0.79572,0.7116,0.00993,0.00993,1.00209
7061,18.00,142.00,75.00,681.00,18.00,0.00,870.00,1856.00,19104.00,0.00,0.00,0.00,84.00,3.00,6342.59259,0.43478,0.43478,0.43478,0.43478,0.76969,0.6714,0.00829,0.00829,1.00
